step,mode,sim_time_sec,ref_idx,segment,ref_x,ref_y,ref_yaw,ref_v,ref_w,x,y,yaw,v_meas,w_meas,e_x,e_y,e_psi,cmd_v,cmd_w
22,deepc,4050.7500000000005,21,straight_1,0.26250000000000007,0.0,0.0,0.25,0.0,0.2656051646439353,0.00011808247968673755,0.0009505886901173958,0.26081091876959894,0.01694692140872447,-0.0031052754888454596,-0.00011513069238902707,-0.0009505886901175487,0.25070765282047813,9.248398121910037e-05
23,deepc,4050.8,22,straight_1,0.2750000000000001,0.0,0.0,0.25,0.0,0.2761839074743068,0.00012698536757607692,0.0008706553257830299,0.2644686634391854,0.0,-0.0011840175860543581,-0.0001259545442285305,-0.0008706553257828986,0.254155794715691,0.011558731730390855
24,deepc,4050.8500000000004,23,straight_1,0.2875000000000001,0.0,0.0,0.25,0.0,0.29206268503348265,0.00014054834012397886,0.0010702666138273683,0.2675207859884306,0.01957003406113575,-0.004562832844439319,-0.00013566497109852025,-0.0010702666138273642,0.25030523960222206,-0.005288023608994976
25,deepc,4050.9,24,straight_1,0.3000000000000001,0.0,0.0,0.25,0.0,0.3027639747318898,0.00015296776494769135,0.0018590125350023206,0.2675324138813358,0.019718652145743167,-0.0027642543246715013,-0.0001478292399115714,-0.0018590125350024245,0.24687231967520687,-0.004580209175877004
26,deepc,4050.9500000000003,25,straight_1,0.3125000000000001,0.0,0.0,0.25,0.0,0.3185696768302309,0.00018127800770262396,0.0015931283355696264,0.25986560179038637,-0.007807131833194479,-0.006069957926645352,-0.00017160800760004954,-0.0015931283355694603,0.24677251535710346,0.003402031953386403
27,deepc,4051.0000000000005,26,straight_1,0.3250000000000001,0.0,0.0,0.25,0.0,0.32896428793362253,0.0001976813736200074,0.0012808414013489326,0.25986559984567387,-0.0078071725504043395,-0.003964537880225642,-0.00019260358874257836,-0.0012808414013489866,0.2436453653830576,-0.008701678068355125
28,deepc,4051.05,28,straight_1,0.35000000000000014,0.0,0.0,0.25,0.0,0.3445149010440521,0.0002184749070320128,0.001280645987942531,0.2564729164488437,-0.014789318347426314,0.005484814669082357,-0.00022549919592801634,-0.0012806459879426413,0.243599058696506,-0.0008754008446327469
29,deepc,4051.1000000000004,28,straight_1,0.35000000000000014,0.0,0.0,0.25,0.0,0.35477364604531386,0.0002307659766949208,0.0006869678293319185,0.2564688059233181,-0.014842154926106629,-0.0047738034477024125,-0.0002274865812390151,-0.0006869678293317527,0.24440802097263448,-0.0038768664746011614
30,deepc,4051.15,30,straight_1,0.37500000000000017,0.0,0.0,0.25,0.0,0.37016855599524867,0.00024083984775651764,0.00042260665344269314,0.2572715966779694,-0.006606664670507847,0.004831341792793242,-0.0002428816265713225,-0.00042260665344251436,0.2531379835162135,-0.0043690630438726116
31,deepc,4051.2000000000003,30,straight_1,0.37500000000000017,0.0,0.0,0.25,0.0,0.3804684990135239,0.00024499412422366305,0.000158886794195322,0.2581795831860193,-0.006552011832156324,-0.005468537870828418,-0.00024412524885755976,-0.00015888679419528984,0.24599923680197333,0.01125524547029642
32,deepc,4051.2500000000005,32,straight_1,0.4000000000000002,0.0,0.0,0.25,0.0,0.39637389110350424,0.00024589551971726027,2.9933893092209575e-06,0.2589574187340071,0.01906149347241025,0.0036261081604186843,-0.0002459063740717634,-2.9933893093136987e-06,0.2522607555063851,0.002143254109346597
33,deepc,4051.3,33,straight_1,0.4125000000000002,0.0,0.0,0.25,0.0,0.4067317538547922,0.000247112164561653,0.0007710195812132,0.2589465627220769,0.01920054148342911,0.00576805390238123,-0.0002515595213976928,-0.0007710195812133946,0.2515415095129768,0.0026925782678135592
34,deepc,4051.3500000000004,34,straight_1,0.4250000000000002,0.0,0.0,0.25,0.0,0.4225963716429427,0.0002603711283580165,0.0011386445244568318,0.26478053697411863,0.004585188839015623,0.0024033303287963586,-0.0002631078372471665,-0.0011386445244569998,0.2541963457724453,0.005327504528716397
35,deepc,4051.4,35,straight_1,0.4375000000000002,0.0,0.0,0.25,0.0,0.4331902481614192,0.0002724453555642206,0.0013248558742673272,0.2650467285269077,0.004865492056696101,0.004309387105526359,-0.0002781549148299728,-0.0013248558742673389,0.26112959055445883,-0.009576081662613593
36,deepc,4051.4500000000003,36,straight_1,0.45000000000000023,0.0,0.0,0.25,0.0,0.44932471296718246,0.00029590865286793284,0.0015941104388626126,0.2748668102511025,-0.016251898985162726,0.0006748144639295695,-0.0002969847585405596,-0.001594110438862817,0.2483779886732878,0.0013229721164058305
37,deepc,4051.5000000000005,37,straight_1,0.46250000000000024,0.0,0.0,0.25,0.0,0.46030962936800696,0.0003122443275545338,0.0009540119041160059,0.2738730780356723,-0.015005673921153753,0.002190071750462516,-0.00031433382480209004,-0.0009540119041160366,0.25416720555652295,0.01116847497311246
38,deepc,4051.55,38,straight_1,0.47500000000000026,0.0,0.0,0.25,0.0,0.4760894007897869,0.0003288255040997188,0.0012675542570847113,0.26753381454266295,0.0189164698301957,-0.0010898167186759627,-0.000327444365699814,-0.00126755425708458,0.2491582286312306,-0.007057965157282731
39,deepc,4051.6000000000004,39,straight_1,0.48750000000000027,0.0,0.0,0.25,0.0,0.4867860718881072,0.00034330621516661124,0.002000817096785181,0.26703478106471235,0.016168694967689294,0.0007132397903839634,-0.00034473396661234687,-0.0020008170967851235,0.2529753689952208,0.004286417524578644
40,deepc,4051.65,40,straight_1,0.5000000000000002,0.0,0.0,0.25,0.0,0.5025664491963924,0.00037055723878094286,0.001490033774710937,0.26628986084710504,0.007305671739864962,-0.0025669984899735275,-0.000366732732856647,-0.0014900337747110193,0.25035230344516785,-0.01050544258135435
41,deepc,4051.7000000000003,41,straight_1,0.5125000000000002,0.0,0.0,0.25,0.0,0.5132155314545761,0.00038717520358052697,0.0017603895611276344,0.2660399343243239,0.005118438451193145,-0.0007162119247051293,-0.0003859149902055299,-0.0017603895611277842,0.24708242174600897,-0.005920044491446411
42,deepc,4051.7500000000005,42,straight_1,0.5250000000000001,0.0,0.0,0.25,0.0,0.528989613500012,0.0004101505483848207,0.0007742553359395202,0.26008676230148275,-0.010094259789864387,-0.003989929865401324,-0.0004070614462159857,-0.0007742553359393334,0.2469753394238947,0.006364649374524035
43,deepc,4051.8,43,straight_1,0.5375000000000001,0.0,0.0,0.25,0.0,0.5393929681085985,0.00041833254688200305,0.000388023826277226,0.260075490236914,-0.00834099280709458,-0.0018931302890848331,-0.0004175979986793212,-0.0003880238262770064,0.2443526814773311,-0.006200720146409247
44,deepc,4051.8500000000004,44,straight_1,0.55,0.0,0.0,0.25,0.0,0.5549611944918289,0.0004278178296506051,0.0008054951695894458,0.25721335198606027,-0.010573344782968189,-0.0049615374875197,-0.00042382147309527997,-0.0008054951695894985,0.24507731740101554,-0.0038775768102572087
45,deepc,4051.9,45,straight_1,0.5625,0.0,0.0,0.25,0.0,0.5652504394977543,0.0004352571440556067,0.00038716193108526224,0.25728471648063683,-0.010113951730966696,-0.00275060780660885,-0.0004341922459936305,-0.0003871619310853447,0.24561247856583904,-0.0008053617670569528
46,deepc,4051.9500000000003,46,straight_1,0.575,0.0,0.0,0.25,0.0,0.5807352026171767,0.00044027719588221397,4.837218737850156e-05,0.258539451476649,0.0,-0.0057352239076379485,-0.000439999771071575,-4.837218737829829e-05,0.24633612207033276,0.0017386756467799355
47,deepc,4052.0000000000005,47,straight_1,0.5874999999999999,0.0,0.0,0.25,0.0,0.5910767806464242,0.00044096809273666353,-6.186845901622257e-06,0.25853945111332555,0.0,-0.003576777918154213,-0.0004409902217189072,6.186845901812177e-06,0.2450715030793705,0.0025091066912230797
48,deepc,4052.05,49,straight_1,0.6124999999999998,0.0,0.0,0.25,0.0,0.6066133723144406,0.00044132619075349684,0.00014547069219501629,0.25797000616158333,0.004272015002130754,0.005886563423247437,-0.0004421825178849781,-0.00014547069219483788,0.24663764002359412,0.003866421232530654
49,deepc,4052.1000000000004,49,straight_1,0.6124999999999998,0.0,0.0,0.25,0.0,0.6169337248987009,0.0004429366220321877,0.0003174423393837676,0.2581252555718253,0.00438095936387974,-0.004433865282143795,-0.0004415291477345165,-0.00031744233938368893,0.24574977983608226,-0.0038025168651109
50,deepc,4052.15,51,straight_1,0.6374999999999997,0.0,0.0,0.25,0.0,0.6325006515017698,0.00044923947730193803,0.0005702272907447101,0.25868398047132823,-0.006479802109359588,0.004999091516841797,-0.000452090169059916,-0.0005702272907446293,0.25506242228871356,-0.0013030803009274365
51,deepc,4052.2000000000003,51,straight_1,0.6374999999999997,0.0,0.0,0.25,0.0,0.6428574498104809,0.0004545923361741688,0.0003157087257468313,0.2596280304877944,-0.006012670629822817,-0.005357593062252079,-0.00045290091989428325,-0.00031570872574704367,0.24753061365474952,0.008772028055786031
52,deepc,4052.2500000000005,53,straight_1,0.6624999999999996,0.0,0.0,0.25,0.0,0.658876744337743,0.0004593717817913814,0.00036929180627139394,0.2605628569838116,0.014906720878453895,0.0036230857729620904,-0.000460709789065323,-0.0003692918062712103,0.25148905023356205,0.0029919071501020465
53,deepc,4052.3,54,straight_1,0.6749999999999996,0.0,0.0,0.25,0.0,0.6693031772546724,0.00046403887745077264,0.0009569661180985577,0.26096775883136114,0.013880689691692783,0.0056963760673820205,-0.0004694903304870639,-0.000956966118098368,0.25164677639138405,0.0038762224443029828
54,deepc,4052.3500000000004,55,straight_1,0.6874999999999996,0.0,0.0,0.25,0.0,0.6851885149718461,0.0004795249093910158,0.0012793388716544902,0.26489134337806997,0.006605570243489835,0.0023108696618516166,-0.00048248168881104677,-0.001279338871654545,0.2537467022410271,0.0038929567246762512
55,deepc,4052.4,56,straight_1,0.6999999999999995,0.0,0.0,0.25,0.0,0.695786273655661,0.0004931808835812795,0.0015423540050416166,0.2651027130980955,0.006484859471941084,0.004212960673206211,-0.000499679352104894,-0.0015423540050414353,0.2603319713730019,-0.009991002014501451
56,deepc,4052.4500000000003,57,straight_1,0.7124999999999995,0.0,0.0,0.25,0.0,0.7118882853793237,0.0005193388041985585,0.001684109464265125,0.2740261212110163,-0.01694615432634146,0.0006108391302140516,-0.0005203682616130961,-0.0016841094642652266,0.24846975465097182,0.0009372550347709643
57,deepc,4052.5000000000005,58,straight_1,0.7249999999999994,0.0,0.0,0.25,0.0,0.722839159558862,0.0005366620275288336,0.0010107128494933038,0.27298780489810837,-0.016211463234395485,0.0021602969263298127,-0.0005388457422455921,-0.0010107128494931672,0.25405631913441323,0.009567776772495977
58,deepc,4052.55,59,straight_1,0.7374999999999994,0.0,0.0,0.25,0.0,0.7386045521096678,0.0005540690825251624,0.0012633580724226007,0.2674212971116904,0.016238184694209477,-0.0011052512156571803,-0.0005526731959047427,-0.0012633580724226157,0.24929271948566717,-0.006830124682504893
59,deepc,4052.6000000000004,60,straight_1,0.7499999999999993,0.0,0.0,0.25,0.0,0.749301650915988,0.0005683736929537256,0.0019161714428796793,0.26742770312194086,0.016320337559064126,0.0006972587011701841,-0.0005697108052545628,-0.0019161714428794774,0.25348786099201637,0.004755066446910754
60,deepc,4052.65,61,straight_1,0.7624999999999993,0.0,0.0,0.25,0.0,0.7650960249978602,0.000597075072412175,0.0014894501320137988,0.26284312298742646,-0.009823472640057453,-0.0025969114314870665,-0.0005932077617721023,-0.0014894501320137365,0.25060240219840596,-0.01059339258727544
61,deepc,4052.7000000000003,62,straight_1,0.7749999999999992,0.0,0.0,0.25,0.0,0.7757664110690209,0.0006142239746702602,0.0017908808421422198,0.2665520031842131,0.005826183224921784,-0.00076750984134544,-0.0006128504395172849,-0.001790880842142073,0.24740664988240615,-0.005117538322862571
62,deepc,4052.7500000000005,63,straight_1,0.7874999999999992,0.0,0.0,0.25,0.0,0.7915571287340263,0.0006376686883252348,0.0008122307673755674,0.26042805215758413,-0.008724513468717308,-0.004057645329816168,-0.0006343731535615803,-0.0008122307673756879,0.24727227493537057,0.006640466620392195
63,deepc,4052.8,65,straight_1,0.8124999999999991,0.0,0.0,0.25,0.0,0.8071798372039647,0.0006492716728211739,0.0007062189834083461,0.2602866051215655,0.01132369398618748,0.005319702941388888,-0.0006530287105596665,-0.000706218983408391,0.24440403329294538,-0.006137275617033347
64,deepc,4052.8500000000004,65,straight_1,0.8124999999999991,0.0,0.0,0.25,0.0,0.8175884321259329,0.000657209778218381,0.0011393398255324743,0.25999997023505295,0.009340480460183511,-0.005089177608411451,-0.0006514118995416644,-0.0011393398255323817,0.2454608253834364,-0.006216619322663958
65,deepc,4052.9,66,straight_1,0.8249999999999991,0.0,0.0,0.25,0.0,0.8278800810072817,0.00066750810232504,0.0007225914777556972,0.2573631869772213,-0.010280655672136249,-0.0028805625910062775,-0.0006654268062492238,-0.000722591477755774,0.25094794218973704,-0.0047546538128518554
66,deepc,4052.9500000000003,67,straight_1,0.837499999999999,0.0,0.0,0.25,0.0,0.8434462834369937,0.0006767226342340001,0.00011553320125645621,0.2641557295932787,-0.008104900311848802,-0.005946361581241522,-0.0006760356365580542,-0.00011553320125656796,0.2472463194171832,0.008443133873818811
67,deepc,4053.0000000000005,68,straight_1,0.849999999999999,0.0,0.0,0.25,0.0,0.8540088266941565,0.0006779250600104718,-0.00018885178696998354,0.2637871427022035,-0.006123720134387075,-0.004008698595311824,-0.0006786821220017184,0.00018885178696992355,0.24375190784724463,0.005601132194030986
68,deepc,4053.05,70,straight_1,0.8749999999999989,0.0,0.0,0.25,0.0,0.8695840960966412,0.0006790207206514259,0.0006196085644742731,0.2565809573576959,0.009549647218466786,0.00541548213670789,-0.0006823763305365575,-0.0006196085644742944,0.24971125107688608,0.0003655014549090969
69,deepc,4053.1000000000004,70,straight_1,0.8749999999999989,0.0,0.0,0.25,0.0,0.8798535961160167,0.0006853572170604611,0.0009925615021746193,0.2572073205738688,0.008594516479967434,-0.004854273984266287,-0.000680539387600099,-0.0009925615021746381,0.24676347590589756,-0.0019392257796416062
70,deepc,4053.15,72,straight_1,0.8999999999999988,0.0,0.0,0.25,0.0,0.8955907417706936,0.0007004756909712019,0.0009869282392081448,0.259751028272707,-0.0032956374320583202,0.0044085647628082075,-0.0007048269705840184,-0.0009869282392083178,0.25539057153671724,-0.006210401404024972
71,deepc,4053.2000000000003,72,straight_1,0.8999999999999988,0.0,0.0,0.25,0.0,0.9059897035555448,0.0007105383746113096,0.0008496455543555929,0.26064358493860107,-0.003830966467648986,-0.005990305099268422,-0.0007054489937577896,-0.0008496455543554049,0.24391005118351822,-0.0004213992846798666
72,deepc,4053.2500000000005,74,straight_1,0.9249999999999987,0.0,0.0,0.25,0.0,0.9219925016348325,0.0007215652809314264,0.00032105553798416806,0.25720371201266135,-5.86277519302605e-05,0.003007266547639308,-0.0007225308177321846,-0.0003210555379840052,0.24948265258616337,0.010950524497168705
73,deepc,4053.3,75,straight_1,0.9374999999999987,0.0,0.0,0.25,0.0,0.93226799033564,0.0007252325870331957,0.00030860586845349487,0.25730666352143156,0.0015185435872036063,0.005231785604187889,-0.0007268471813590946,-0.00030860586845360416,0.2495020740534238,0.002916529835884016
74,deepc,4053.3500000000004,76,straight_1,0.9499999999999986,0.0,0.0,0.25,0.0,0.948024910918478,0.0007347868272082559,0.0012773095974294056,0.26263376204010414,0.004967471538081667,0.001974148920311157,-0.0007373090273523105,-0.0012773095974294435,0.2526073992907453,-0.0007883941217087327
75,deepc,4053.4,77,straight_1,0.9624999999999986,0.0,0.0,0.25,0.0,0.9585335027644298,0.0007477933612579104,0.0014699486960230068,0.2629586966614431,0.004470733615466171,0.003965393732786294,-0.0007536230987005922,-0.0014699486960227937,0.26128101617157656,-0.007566667823379778
76,deepc,4053.4500000000003,78,straight_1,0.9749999999999985,0.0,0.0,0.25,0.0,0.9745878903391203,0.0007705926243510039,0.001269954961198378,0.2750336786791197,-0.012408393083649046,0.00041113071089270815,-0.000771115363518454,-0.0012699549611983052,0.24900811400770784,0.004034963748749568
77,deepc,4053.5000000000005,79,straight_1,0.9874999999999985,0.0,0.0,0.25,0.0,0.9855787096387957,0.0007837727489541016,0.0007617407278154042,0.27398476355105117,-0.012107763848180249,0.001920692772223,-0.0007852360465390131,-0.0007617407278153188,0.25448735587466975,0.011676422298633776
78,deepc,4053.55,80,straight_1,0.9999999999999984,0.0,0.0,0.25,0.0,1.0013807241615351,0.0007981762913533015,0.0013087036617026628,0.2678694693129492,0.019766241010897318,-0.0013817675550870678,-0.0007963686495828206,-0.0013087036617025483,0.250291224518906,-0.006317682583985177
79,deepc,4053.6000000000004,81,straight_1,1.0124999999999984,0.0,0.0,0.25,0.0,1.0120917119105552,0.000812985053320578,0.002076806499410003,0.2674554859667209,0.017051681639772717,0.0004065987975157023,-0.0008138312348162787,-0.002076806499410111,0.25378637670466847,0.0034509427857816882
80,deepc,4053.65,82,straight_1,1.0249999999999984,0.0,0.0,0.25,0.0,1.0279399368117508,0.0008418055899327881,0.001612519069188041,0.2671435532862891,0.005879632258560528,-0.0029412904164933568,-0.0008370637933774256,-0.0016125190691882452,0.2507652382834129,-0.009751797919244295
81,deepc,4053.7000000000003,84,straight_1,1.0499999999999983,0.0,0.0,0.25,0.0,1.0439020555476828,0.000869077112632358,0.0014964956575278922,0.2639634084604688,-0.016634439665692884,0.006096637054506063,-0.0008782016834703946,-0.001496495657527852,0.24790888177449164,-0.004658399028115897
82,deepc,4053.7500000000005,84,straight_1,1.0499999999999983,0.0,0.0,0.25,0.0,1.054457690565161,0.0008842159925749413,0.0008412929745009391,0.263674336854653,-0.015617370335077046,-0.004458432872259153,-0.0008804654563498873,-0.0008412929745009734,0.24707273305692734,0.006133664289838548
83,deepc,4053.8,85,straight_1,1.0624999999999982,0.0,0.0,0.25,0.0,1.06489595535195,0.0008934314051079876,0.0005236700366966393,0.26095671620123195,-0.007940717518339711,-0.0023964228866652313,-0.0008921765926352716,-0.0005236700366966218,0.249219790490726,-0.008559409170585324
84,deepc,4053.8500000000004,86,straight_1,1.0749999999999982,0.0,0.0,0.25,0.0,1.0805332299794528,0.0009033410049588766,0.0007112197194889085,0.262332894532633,-0.014551560499500394,-0.005533871053890132,-0.000899405434546736,-0.0007112197194887315,0.24642286623786694,0.0031353119433519924
85,deepc,4053.9010000000003,87,straight_1,1.0874999999999981,0.0,0.0,0.25,0.0,1.0910266929755588,0.0009097992343212625,0.0001272533998330694,0.2623366241643265,-0.01459917458415573,-0.0035268087220514267,-0.0009093504432847821,-0.0001272533998331049,0.2443514581181411,0.002598375539778525
86,deepc,4053.9500000000003,89,straight_1,1.112499999999998,0.0,0.0,0.25,0.0,1.1066147014135685,0.0009123082541768687,0.00026551460000563877,0.25918089156492435,0.005167136030328941,0.005885056147820259,-0.0009138708547006432,-0.00026551460000545646,0.24933666435290544,-0.00042115954441146323
87,deepc,4054.0000000000005,89,straight_1,1.112499999999998,0.0,0.0,0.25,0.0,1.1169084205294366,0.0009151175871434346,0.0004374835861137288,0.25773576339908505,0.003981973790477513,-0.004408820456481584,-0.0009131888880095986,-0.00043748358611361837,0.24670691303241216,0.00210561213577154
88,deepc,4054.05,91,straight_1,1.137499999999998,0.0,0.0,0.25,0.0,1.1326256005142774,0.0009214998852835706,0.00044153578012298385,0.25969148689233734,0.003583324902654243,0.004873992135421584,-0.0009236520171682272,-0.0004415357801228481,0.255789713023854,-0.005403514372859912
89,deepc,4054.1000000000004,91,straight_1,1.137499999999998,0.0,0.0,0.25,0.0,1.1430226842585864,0.0009262845562857615,0.0005737930648155085,0.26063401695460076,0.0024755380688990867,-0.005523214845073697,-0.0009231155260486476,-0.0005737930648153089,0.24394438275740365,0.000283041261927782
90,deepc,4054.15,93,straight_1,1.1624999999999979,0.0,0.0,0.25,0.0,1.1590502808502865,0.0009328066551563813,0.00012441222410952322,0.2575851201206657,3.919413708550852e-05,0.0034496030704629704,-0.000933235835168065,-0.0001244122241095269,0.2507604433862595,0.012045204101853849
91,deepc,4054.2000000000003,94,straight_1,1.1749999999999978,0.0,0.0,0.25,0.0,1.169328496990305,0.0009344279858749275,0.00015954133645151183,0.2574709465622987,0.0016703971661382218,0.005671353857624092,-0.0009353328131487418,-0.0001595413364516851,0.2504352745143418,0.0024514869733832977
92,deepc,4054.2500000000005,95,straight_1,1.1874999999999978,0.0,0.0,0.25,0.0,1.185162102431274,0.0009420463838443466,0.0012106997335990088,0.2636160768662208,0.004173716127653244,0.0023367553202587724,-0.0009448761846936848,-0.0012106997335989966,0.25259188502072893,-0.00023684996550138454
93,deepc,4054.3,96,straight_1,1.1999999999999977,0.0,0.0,0.25,0.0,1.1957090031441489,0.0009542865927134606,0.001373146803103896,0.2638425395782467,0.003756355602885128,0.004289682435271033,-0.0009601778598076722,-0.001373146803103964,0.26158205354006003,-0.006366221355559951
94,deepc,4054.3500000000004,97,straight_1,1.2124999999999977,0.0,0.0,0.25,0.0,1.2117660969326405,0.0009758235476856689,0.001240528571496082,0.27534946612736,-0.010450259929777293,0.0007326919659703239,-0.0009767332243231566,-0.0012405285714960357,0.24944288768654663,0.003917494536954798
95,deepc,4054.4,98,straight_1,1.2249999999999976,0.0,0.0,0.25,0.0,1.2227708125771062,0.0009887843641262569,0.0008210879889036991,0.2744237275731517,-0.009377454342767235,0.0022283747925748317,-0.0009906143896265267,-0.0008210879889039013,0.2547032813553333,0.011788565864143051
