step,segment,sim_time_sec,ref_x,ref_y,ref_yaw,ref_v,ref_w,x,y,yaw,v_meas,w_meas,e_x,e_y,e_psi,cmd_v,cmd_w,cmd_v_nom,cmd_w_nom,dv_pert,dw_pert
24,straight_1,3.800000,0.050000,0.000000,0.000000,0.250000,0.000000,0.014570,0.000124,0.013693,0.170924,0.067046,0.035425,-0.000609,-0.013693,0.226392,0.037800,0.278316,-0.028483,-0.051925,0.066282
25,straight_1,3.850000,0.062500,0.000000,0.000000,0.250000,0.000000,0.026997,0.000309,0.017524,0.232723,0.058412,0.035492,-0.000931,-0.017524,0.226431,0.029560,0.278356,-0.036723,-0.051925,0.066282
26,straight_1,3.900000,0.075000,0.000000,0.000000,0.250000,0.000000,0.036526,0.000477,0.019772,0.238348,0.050444,0.038458,-0.001238,-0.019772,0.228792,0.024511,0.280717,-0.041771,-0.051925,0.066282
27,straight_1,3.950000,0.087500,0.000000,0.000000,0.250000,0.000000,0.050899,0.000769,0.022512,0.240834,0.041827,0.036574,-0.001592,-0.022512,0.227271,0.018392,0.279196,-0.047890,-0.051925,0.066282
28,straight_1,4.000000,0.100000,0.000000,0.000000,0.250000,0.000000,0.060497,0.000985,0.023961,0.239233,0.031383,0.039468,-0.001931,-0.023961,0.229578,0.014884,0.281503,-0.051399,-0.051925,0.066282
29,straight_1,4.050000,0.112500,0.000000,0.000000,0.250000,0.000000,0.074921,0.001335,0.025651,0.241661,0.025394,0.037532,-0.002299,-0.025651,0.228019,0.010843,0.279944,-0.055439,-0.051925,0.066282
30,straight_1,4.101000,0.125000,0.000000,0.000000,0.250000,0.000000,0.089349,0.001709,0.026887,0.240020,0.018498,0.035592,-0.002667,-0.026887,0.244281,0.109450,0.278383,-0.058574,-0.034102,0.168023
31,straight_1,4.151000,0.137500,0.000000,0.000000,0.250000,0.000000,0.099365,0.001980,0.030695,0.255728,0.146978,0.038056,-0.003150,-0.030695,0.246225,0.100963,0.280327,-0.067060,-0.034102,0.168023
32,straight_1,4.200000,0.150000,0.000000,0.000000,0.250000,0.000000,0.109631,0.002300,0.036978,0.257930,0.156245,0.040256,-0.003791,-0.036978,0.247932,0.087243,0.282034,-0.080781,-0.034102,0.168023
33,straight_1,4.250000,0.162500,0.000000,0.000000,0.250000,0.000000,0.125207,0.002905,0.046348,0.260981,0.148902,0.037118,-0.004630,-0.046348,0.245324,0.066994,0.279426,-0.101029,-0.034102,0.168023
